"visa","titre","realisateur","genre","devis","annee"
"148134","Marchand de sable (Le)","ACHIEPO Steve","fiction","1 972 060","2021"
"157575","Double foyer (ex : Rien qu'un ciel)","VASSE Claire","fiction","849 302","2022"
"156519","Du grand feu ne restent que les braises","TELLENNE Anais","fiction","1 217 008","2022"
"155247","Grand cirque (Le)","BENYAMNA Mohammed / ELGUEZAR Hassen","fiction","3 044 449","2022"
"156577","Grand Paris","JAUVAT Martin","fiction","288 915","2022"
"155718","Histoire de Karine (L') (ex : Menteuse)","GAUTIER Sylvie","fiction","1 102 628","2022"
"153086","HLM Pussy","EL HOURCH Nora","fiction","1 219 782","2022"
"157604","Ile aux morts (L')","VILLIERS Antoine","fiction","216 043","2022"
"151782","Je ne suis pas un héros","MILSTEIN Rudy","fiction","2 116 077","2022"
"157406","Je voudrais que tu me parles","ANGOT Christine","documentaire","685 563","2022"
"156636","Laena","DANAN Abel","fiction","1 652 397","2022"
"148152","Léo et moi","BEDOS Victoria","fiction","5 942 017","2022"
"158227","Life","NIKOLIC Dragan","fiction","896 814","2022"
"156020","Lumière noire","BENSALAH Karim","fiction","1 216 498","2022"
"155500","Ma cam","LERAT-GERSANT Julie","fiction","1 851 787","2022"
"156140","Magnificat","SAUVEUR Virginie","fiction","2 798 557","2022"
"157833","Maire (Le)","BLANC Karine / TAVARES Michel","fiction","5 936 649","2022"
"156257","Maison (La)","BONNEFONT Anissa","fiction","2 615 722","2022"
"157489","Mer et au-delà (La) (Flo)","DANON Geraldine","fiction","13 734 650","2022"
"152255","Miraculous - le film","ZAG Jeremy","animation","60 031 228","2022"
"155946","Monde après nous (Le)","BEN SALAH-CAZANAS Louda","fiction","234 463","2022"
"156663","Motherhood","JOOBEUR Meryam","fiction","1 292 579","2022"
"154026","Nos cérémonies","RIETH Simon","fiction","2 168 947","2022"
"154113","Nouvelle femme (La)","TODOROV Lea","fiction","3 608 513","2022"
"154655","Nuit du verre d'eau (La)","CHAHINE Carlos","fiction","1 092 491","2022"
"157014","Omar la fraise","BELKEDDAR Elias","fiction","6 340 556","2022"
"155051","Parmi nous","ALAOUI Sofia","fiction","2 966 144","2022"
