"annee","cnc","visa","titre","genre","nationalite","distributeur","classification","sortie","art_et_essai","etab_s1"
"2020","2020001653","153312","DREAMS","ANIMATION","DANEMARK","KMBO","TP","2020-07-29","NON","587"
"2020","2020002005","153719","DRUNK","COMEDIE","DANEMARK","HAUT ET COURT DISTRIBUTION","TP","2020-10-14","OUI","278"
"2020","2019003200","151297","DUCOBU 3","COMEDIE","FRANCE","UGC DISTRIBUTION","TP","2020-02-05","NON","605"
"2020","2019005148","152198","ECHO","DRAME","ISLANDE","JOUR 2 FETE","TP","2020-01-01","OUI","18"
"2020","2019002389","151698","EFFACER L'HISTORIQUE","COMEDIE DRAMATIQUE","FRANCE","LES FILMS SAINT ANDRE DES ARTS","TP","2020-03-04","NON","1"
"2020","2019003145","151251","EFFACER L'HISTORIQUE","COMEDIE","FRANCE","AD VITAM","TP","2020-08-26","OUI","639"
"2020","2017000096","145765","ELEONORE","COMEDIE","FRANCE","ARP MERMOZ","TP","2020-09-23","NON","195"
"2020","2020000836","152669","EMA","DRAME","CHILI","POTEMKINE FILMS","12","2020-09-02","OUI","90"
"2020","2020000516","152445","EMPLOYEE'S ENTRANCE","DRAME","ETATS UNIS","WARNER BROS. ENTERTAINMENT FRANCE","TP","2020-07-01","OUI","15"
"2020","2020000741","153292","EN ATTENDANT LE CARNAVAL","DOCUMENTAIRE","BRESIL","JHR FILMS","TP","2020-10-07","OUI","18"
"2020","2020000473","152531","EN AVANT","ANIMATION","ETATS UNIS","THE WALT DISNEY COMPANY FRANCE","TP","2020-03-04","NON","704"
"2020","2017001769","146599","ENORME","COMEDIE","FRANCE","MEMENTO FILMS DISTRIBUTION","TP","2020-09-02","OUI","350"
"2020","2020001846","153344","ENRAGÉ","THRILLER","ETATS UNIS","SOCIETE NOUVELLE DE DISTRIBUTION","12A","2020-08-19","NON","271"
"2020","2017001611","146499","EPICENTRO","DOCUMENTAIRE","FRANCE","LES FILMS DU LOSANGE","TP","2020-08-19","OUI","73"
"2020","2018000688","148230","EQUILIBRISTES (LES)","DOCUMENTAIRE","FRANCE","DOCKS 66","TP","2020-10-14","OUI","5"
"2020","2017002709","147042","ESPRIT DE FAMILLE (L')","COMEDIE","FRANCE","APOLLO FILMS DISTRIBUTION","TP","2020-01-29","NON","425"
"2020","2015001489","142221","ETAT SAUVAGE (L')","WESTERN","FRANCE","PYRAMIDE","TP","2020-02-26","OUI","73"
"2020","2019002941","151092","ETE 84","COMEDIE DRAMATIQUE","FRANCE","DIAPHANA DISTRIBUTION","TP","2020-07-14","OUI","524"
"2020","2020001256","152971","EVA EN AOUT","DRAME","ESPAGNE","ARIZONA FILMS DISTRIBUTION","TP","2020-08-05","OUI","75"
"2020","2018000956","148359","EXTRAORDINAIRE VOYAGE DE MARONA (L')","ANIMATION","FRANCE","CINEMA PUBLIC FILMS","TP","2020-01-08","OUI","81"
"2020","2019005778","153212","FAMILY ROMANCE, LLC","DRAME","ETATS UNIS","NOUR FILMS","TP","2020-08-19","OUI","40"
"2020","2017004611","147814","FILLE AU BRACELET (LA)","DRAME","FRANCE","LE PACTE","TP","2020-02-12","OUI","211"
"2020","2018003469","149391","FILLE UNIQUE","COMEDIE","FRANCE","REZO FILMS","TP","2020-07-15","OUI","139"
"2020","2019004508","153618","FIN DE SIECLE","DRAME","ARGENTINE","OPTIMALE","TPA","2020-09-23","OUI","13"
"2020","2019002248","152192","FIRST LOVE LE DERNIER YAKUZA","THRILLER","JAPON","HAUT ET COURT DISTRIBUTION","12","2020-01-01","OUI","49"
"2020","2018005371","149931","FRONTIÈRE (LA)","DRAME","FRANCE","KMBO","12A","2020-06-22","OUI","220"
"2020","2019005549","152690","GARABANDAL","HISTOIRE","ESPAGNE","SOCIETE AUDIOVISUELLE POUR LES JEUNES ET LES ENFANTS - SAJE","TP","2020-01-22","NON","21"
"2020","2019002246","152211","GHOST TROPIC","DRAME","BELGIQUE","JHR FILMS","TP","2020-01-01","OUI","13"
"2020","2017004583","147796","GOMERA","POLICIER","FRANCE","DIAPHANA DISTRIBUTION","TPA","2020-01-08","OUI","123"
"2020","2020001881","153329","GRAND FRERE","DRAME","CHINE","ASC DISTRIBUTION","TP","2020-08-26","OUI","12"
"2020","2019002749","152266","GREEN BOYS","DOCUMENTAIRE","FRANCE","JHR FILMS","TP","2020-06-22","OUI","3"
"2020","2020001745","153322","GREENLAND LE DERNIER REFUGE","THRILLER","ETATS UNIS","METROPOLITAN FILMEXPORT","TP","2020-08-05","NON","489"
"2020","2018003346","149353","HAINGOSOA","DRAME","FRANCE","LATERIT PRODUCTIONS","TP","2020-03-04","OUI","4"
"2020","2017000805","146146","HISTOIRE D'UN REGARD","DOCUMENTAIRE","FRANCE","DIAPHANA DISTRIBUTION","TP","2020-01-29","OUI","63"
"2020","2020000355","153472","HONEYLAND","DOCUMENTAIRE","MACEDOINE","KMBO","TP","2020-09-16","OUI","66"
"2020","2020000088","153007","HOTEL BY THE RIVER","DRAME","COREE DU SUD","LES ACACIAS","TP","2020-07-29","OUI","54"
"2020","2019005195","","I SEE YOU","HORREUR","ETATS UNIS","L’ATELIER DISTRIBUTION","TPA","2020-06-22","NON","26"
"2020","2020000963","","IK SANDHU HUNDA SI","COMEDIE","INDE","AANNA FILMS","TP","2020-02-28","NON","1"
"2020","2019003297","153165","IL CAMPIONE","COMEDIE","ITALIE","DESTINY FILMS","TP","2020-08-05","NON","198"
"2020","2020002078","153396","ILS ETAIENT UNE FOIS DES PETITS NEZ ROUGES","DOCUMENTAIRE","FRANCE","LES FEES WAOUH","TP","2020-10-01","NON","3"
"2020","2020000308","152605","INVISIBLE MAN","HORREUR","ETATS UNIS","UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS","12","2020-02-26","NON","373"
"2020","2020001760","153278","IP MAN 4","AVENTURES","CHINE","EUROZOOM","TP","2020-07-22","NON","363"
"2020","2020001596","153110","IRRESISTIBLE","COMEDIE","ETATS UNIS","UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS","TP","2020-07-01","NON","122"
"2020","2019003385","153336","IRREVERSIBLE INVERSION INTEGRALE","DRAME","FRANCE","CARLOTTA FILMS","16","2020-08-26","OUI","17"
"2020","2019001245","150540","ISRAEL, LE VOYAGE INTERDIT","DOCUMENTAIRE","FRANCE","NOUR FILMS","TP","2020-10-07","NON","10"
"2020","2020000246","152540","J'AI RETROUVE CHRISTIAN B","DOCUMENTAIRE","FRANCE","ARTLINE FILMS SARL","TP","2020-02-05","NON","1"
"2020","2018003396","147861","JE NE REVE QUE DE VOUS","HISTOIRE","FRANCE","REZO FILMS","TP","2020-01-15","OUI","107"
"2020","2018003833","127322","JE VOUDRAIS QUE QUELQU'UN M'ATTENDE QUELQUE PART","COMEDIE DRAMATIQUE","FRANCE","UGC DISTRIBUTION","TP","2020-01-22","NON","397"
"2020","2015002083","142572","JEUNESSE SAUVAGE","DRAME","FRANCE","TOUPIE FILMS","TPA","2020-06-24","OUI","52"
"2020","2019000128","152396","JINPA","DRAME","HONGRIE","ED DISTRIBUTION","TP","2020-02-19","OUI","18"
"2020","2019004627","152737","J'IRAI DECROCHER LA LUNE","DOCUMENTAIRE","FRANCE","NOMADES TV","TP","2020-06-24","NON","1"
"2020","2019004420","151681","J'IRAI MOURIR DANS LES CARPATES","COMEDIE","FRANCE","APOLLO FILMS DISTRIBUTION","TP","2020-09-16","NON","309"
"2020","2019004586","152285","JOJO RABBIT","DRAME","ETATS UNIS","THE WALT DISNEY COMPANY FRANCE","TP","2020-01-29","OUI","169"
"2020","2018005187","149864","JOSEP","ANIMATION","FRANCE","DULAC DISTRIBUTION","TP","2020-09-30","NON","223"
"2020","2019003140","151245","JOUEUSES (LES)","DOCUMENTAIRE","FRANCE","ROUGE DISTRIBUTION","TP","2020-09-09","NON","48"
"2020","2019004210","151868","JUDY","BIOGRAPHIE","GRANDE BRETAGNE","PATHE FILMS","TP","2020-02-26","NON","260"
"2020","2016002813","141483","JUMBO","DRAME","FRANCE","REZO FILMS","TP","2020-07-01","OUI","93"
"2020","2016000684","144042","JUSTE SAM","DRAME","FRANCE","LES FILMS SAINT ANDRE DES ARTS","TP","2020-02-26","NON","1"
"2020","2018003693","134843","K CONTRAIRE","DRAME","FRANCE","LES VALSEURS","TP","2020-01-22","OUI","44"
"2020","2020002039","153370","KAJILLIONAIRE","POLICIER","ETATS UNIS","APOLLO FILMS DISTRIBUTION","TP","2020-09-30","OUI","81"
"2020","2019003009","151581","KONGO","DOCUMENTAIRE","FRANCE","PYRAMIDE","TP","2020-03-11","OUI","24"
"2020","2017001610","146498","L ALLIANCE","COMEDIE DRAMATIQUE","FRANCE","PANAME DISTRIBUTION","TP","2020-10-07","NON","202"
"2020","2019001032","151737","L APOLLON DE GAZA","DOCUMENTAIRE","SUISSE","MISSION","TP","2020-01-15","OUI","5"
"2020","2019005512","152430","LA BATAILLE GÉANTE DE BOULES DE NEIGE 2, L'INCROYABLE COURSE DE LUGE","ANIMATION","CANADA","ALBA FILMS","TP","2020-01-29","NON","330"
"2020","2019004040","152503","LA COMMUNION","DRAME","POLOGNE","BODEGA FILMS","12","2020-03-04","OUI","126"
"2020","2019005179","151929","LA CRAVATE","DOCUMENTAIRE","FRANCE","NOUR FILMS","TP","2020-02-05","OUI","61"
"2020","2020000377","152670","LA DANSE DU SERPENT","DRAME","FRANCE","EUROZOOM","TP","2020-03-04","OUI","19"
"2020","2017002735","147062","LA DELEGATION","DRAME","FRANCE","BAGAN FILMS","TP","2020-07-22","NON","8"
"2020","2020000835","152904","LA FEMME DES STEPPES, LE FLIC ET L'OEUF","COMEDIE","MONGOLIE","DIAPHANA DISTRIBUTION","TP","2020-08-19","OUI","57"
"2020","2020002102","153673","LA FEMME QUI S’EST ENFUIE","DRAME","COREE DU SUD","CAPRICCI FILMS","TP","2020-09-30","OUI","39"
"2020","2020001333","153202","LA JEUNE FILLE A L'ECHO","DRAME","LITUANIE","ED DISTRIBUTION","TP","2020-09-02","OUI","17"
"2020","2019005587","152366","LA LLORONA","THRILLER","FRANCE","ARP MERMOZ","TPA","2020-01-22","OUI","74"
"2020","2020000121","152536","LA MAQUISARDE","DRAME","FRANCE","HEVADIS FILMS","TP","2020-09-16","OUI","1"
"2020","2020002011","153517","LA PREMIERE MARCHE","DOCUMENTAIRE","FRANCE","OUTPLAY","TP","2020-10-14","NON","7"
"2020","2020002345","153523","LA PUISSANCE DE L'ARBRE","DOCUMENTAIRE","FRANCE","AGENCE MUSEO","TP","2020-10-07","NON","4"
"2020","2018004665","149712","LA SINCÉRITÉ","COMEDIE","FRANCE","NOUR FILMS","TP","2020-01-08","OUI","2"
"2020","2019004337","151657","LA TRANCHEE INFINIE","DRAME","FRANCE","EPICENTRE FILMS","TPA","2020-10-28","NON","70"
"2020","2020001956","153398","LA TROISIEME FEMME","DRAME","VIETNAM","BODEGA FILMS","TP","2020-08-19","NON","27"
"2020","2019005545","152118","LA VOIE DE LA JUSTICE","BIOGRAPHIE","ETATS UNIS","WARNER BROS. ENTERTAINMENT FRANCE","TP","2020-01-29","NON","213"
"2020","2020001608","153161","LA VOIX DU SUCCES","MUSICAL","ETATS UNIS","UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS","TP","2020-07-14","NON","291"
"2020","2014002828","140578","L'ADOLESCENTE","DOCUMENTAIRE","FRANCE","AD VITAM","TP","2020-09-09","OUI","116"
"2020","2019000589","150309","L'AFFAIRE MARVIN","DOCUMENTAIRE","FRANCE","LA HUIT PRODUCTION","TP","2020-01-22","NON","4"
"2020","2015001775","142415","L'AMOUR A DEUX... QUAND ON EST PLUSIEURS","DRAME","FRANCE","PYRAMIDE","TP","2020-09-16","NON","303"
"2020","2020000255","152328","L'AMOUR AIME LES HASARDS 2","DRAME","TURQUIE","MAVIJAAN","TP","2020-02-05","NON","7"
"2020","2020001900","","LANDS OF MURDERS","THRILLER","ALLEMAGNE","KMBO","TPA","2020-07-22","OUI","218"
"2020","2020000253","152374","L'APPEL DE LA FORET","AVENTURES","ETATS UNIS","THE WALT DISNEY COMPANY FRANCE","TP","2020-02-19","NON","554"
"2020","2020000010","152447","LARA JENKINS","DRAME","ALLEMAGNE","KMBO","TP","2020-02-26","OUI","57"
"2020","2019000608","150329","LAST WORDS","DRAME","FRANCE","JOUR 2 FETE","TPA","2020-10-21","NON","41"
"2020","2019002951","152200","LE BON GRAIN ET L'IVRAIE","DOCUMENTAIRE","FRANCE","JUSTE DISTRIBUTION","TP","2020-10-28","NON","2"
"2020","2016004548","145657","LE CAPITAL AU XXIe SIECLE","DOCUMENTAIRE","FRANCE","DIAPHANA DISTRIBUTION","TP","2020-06-22","OUI","47"
"2020","2019005544","152174","LE CAS RICHARD JEWELL","DRAME","ETATS UNIS","WARNER BROS. ENTERTAINMENT FRANCE","TP","2020-02-19","OUI","545"
"2020","2016003559","145354","LE COEUR DU CONFLIT","DOCUMENTAIRE","FRANCE","BABEL","TP","2020-03-11","OUI","1"
"2020","2019001563","","LE DROIT D'AVOIR DES DROITS","DOCUMENTAIRE","FRANCE","LES FILMS SAINT ANDRE DES ARTS","TP","2020-01-08","NON","1"
"2020","2018001676","148565","LE FANTOME DE LAURENT TERZIEFF","DOCUMENTAIRE","FRANCE","JACQUES RICHARD LES FILMS ELEMENTAIRES","TP","2020-09-09","OUI","2"
"2020","2020000988","152786","LE FEU SACRÉ","DOCUMENTAIRE","FRANCE","NEW STORY","TP","2020-10-21","NON","15"
"2020","2019003897","151717","LE FILS D'UN ROI","DOCUMENTAIRE","FRANCE","CARRON","TP","2020-02-26","NON","1"
"2020","2018004991","149798","LE FRUIT DE L'ESPOIR","DRAME","FRANCE","DOPAMYNE FILMS","TP","2020-02-05","NON","1"
"2020","2019005593","","LE GOUT DU SECRET","DOCUMENTAIRE","FRANCE","LES FILMS SAINT ANDRE DES ARTS","TP","2020-01-08","NON","1"
"2020","1900021029","098472","LE LION","COMEDIE","FRANCE","PATHE FILMS","TP","2020-01-29","NON","756"
"2020","2016000185","143768","LE MEC LE PLUS COOL DE TOUT L'UNIVERS","DRAME","France","REZO FILMS","TP","2020-08-05","OUI","41"
"2020","2019004077","151935","LE PHOTOGRAPHE","COMEDIE","ALLEMAGNE","LE PACTE","TP","2020-01-22","OUI","107"
"2020","2018005032","149815","LE RAMAGE ET LE PLUMAGE","COMEDIE","FRANCE","LES FILMS DU LOSANGE","TP","2020-10-28","NON","92"
"2020","2019003563","151494","LE RÉSEAU SHELBURN","DRAME","FRANCE","VENT D'OUEST DISTRIBUTION","TP","2020-01-22","NON","29"
"2020","2020001684","","LE SOLEIL REVIENDRA","DRAME","FRANCE","CARRON","TP","2020-10-07","NON","1"
"2020","2019000865","140642","LE TEMPS DES MARGUERITE","COMEDIE","FRANCE","PATHE FILMS","TP","2020-07-14","NON","450"
"2020","2020000014","152429","LE VOYAGE DU DR DOLITTLE","COMEDIE","ETATS UNIS","UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS","TP","2020-02-05","NON","624"
"2020","2020000847","152976","L'ENVOLEE","DRAME","GRANDE BRETAGNE","ARIZONA FILMS DISTRIBUTION","TP","2020-07-08","OUI","78"
"2020","2020000596","","LEO LOULOU JEANNE ET LES AUTRES","DOCUMENTAIRE","FRANCE","LES FILMS SAINT ANDRE DES ARTS","TP","2020-09-23","NON","1"
"2020","2019005042","152256","LES ENFANTS DU TEMPS","ANIMATION","JAPON","SOCIETE D’EXPLOITATION DES FILMS MAJESTIC","TP","2020-01-08","OUI","197"
"2020","2019003701","151785","LES FILLES DU DOCTEUR MARCH","DRAME","ETATS UNIS","SONY PICTURES ENTERTAINMENT","TP","2020-01-01","OUI","260"
"2020","2019003221","151313","LES GRANDS VOISINS, LA CITÉ REVÉE","DOCUMENTAIRE","FRANCE","LA VINGT CINQUIEME HEURE DISTRIBUTION","TP","2020-07-22","OUI","5"
"2020","2019004051","149254","LES HEROS NE MEURENT JAMAIS","DRAME","FRANCE","LE PACTE","TP","2020-09-30","OUI","80"
"2020","2020001609","153159","LES MEILLEURES INTENTIONS","DRAME","ARGENTINE","EPICENTRE FILMS","TP","2020-07-15","OUI","32"
"2020","2019000995","150462","LES MÉLANCOLIES DE SADE","DRAME","FRANCE","COLLECTION OPUS SASU","TP","2020-01-29","NON","3"
"2020","2020000883","152655","LES NOUVEAUX MUTANTS","FANTASTIQUE","ETATS UNIS","THE WALT DISNEY COMPANY FRANCE","12","2020-08-26","NON","422"
"2020","2020002134","153763","LES PETITES FIEVRES","DOCUMENTAIRE","FRANCE","SAISON UNIQUE","TP","2020-10-14","NON","1"
"2020","2019005691","153068","LES TROLLS 2 TOURNEE MONDIALE","ANIMATION","ETATS UNIS","UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS","TP","2020-10-14","NON","682"
"2020","2014003990","141090","LES YOUKIS","AVENTURES","FRANCE","APOLLO FILMS DISTRIBUTION","TP","2020-07-29","NON","523"
"2020","2019005705","152596","LETTRE A FRANCO","HISTOIRE","ESPAGNE","HAUT ET COURT DISTRIBUTION","TP","2020-02-19","OUI","173"
"2020","2019004075","153022","LIGHT OF MY LIFE","DRAME","ETATS UNIS","CONDOR DISTRIBUTION","TP","2020-08-12","OUI","341"
"2020","2019002544","152587","LIL' BUCK REAL SWAN","DOCUMENTAIRE","FRANCE","DULAC DISTRIBUTION","TP","2020-08-12","OUI","62"
"2020","2019004791","150559","L'ILE FLOTTANTE","COMEDIE","FRANCE","SOCIETE NOUVELLE DE DISTRIBUTION","TP","2020-09-09","NON","494"
"2020","2020000060","152274","L'INFIRMIERE","DRAME","FRANCE","ART HOUSE","TP","2020-08-05","OUI","127"
"2020","2017004341","147664","LITIGANTE","DRAME","FRANCE","AD VITAM","TP","2020-02-19","OUI","61"
"2020","2020000244","152896","L'OMBRE DE STALINE","DRAME","POLOGNE","CONDOR DISTRIBUTION","TP","2020-06-22","OUI","280"
"2020","2020001970","153556","L'ORDRE MORAL","DRAME","PORTUGAL","ALFAMA FILMS PRODUCTION","TP","2020-09-30","OUI","13"
"2020","2019003406","153089","LOVE TRILOGY CHAINED","DRAME","ISRAEL","ART HOUSE","TP","2020-07-08","OUI","84"
"2020","2019001937","152318","LUCIERNAGAS","DRAME","FRANCE","OPTIMALE","TP","2020-01-22","OUI","7"
"2020","2019001244","150536","LUCKY","COMEDIE","FRANCE","APOLLO FILMS DISTRIBUTION","TP","2020-02-26","NON","189"
